,Audible Title,Audible Subtitle,Audible Author,Audible Link,Image Link,Audible Category
10,Tai-Pan,"The Epic Novel of the Founding of Hong Kong: The Asian Saga, Book 2",James Clavell,https://www.audible.com/pd/Tai-Pan-Audiobook/B00UO09YP8?qid=1631133851&sr=1-11&ref=a_special-p_c3_lProduct_1_11&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/418WImfN-YL._SL500_.jpg,Fiction
11,The Lost Orphan,A Novel,Stacey Halls,https://www.audible.com/pd/The-Lost-Orphan-Audiobook/1488208085?qid=1631133851&sr=1-12&ref=a_special-p_c3_lProduct_1_12&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51mgO+62c0L._SL500_.jpg,Fiction
12,Roommates Wanted,,Lisa Jewell,https://www.audible.com/pd/Roommates-Wanted-Audiobook/1974980499?qid=1631133851&sr=1-13&ref=a_special-p_c3_lProduct_1_13&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/61aTU0SOMqL._SL500_.jpg,Fiction
13,The Bookshop at Water's End,,Patti Callahan Henry,https://www.audible.com/pd/The-Bookshop-at-Waters-End-Audiobook/B073PBQNCN?qid=1631133851&sr=1-14&ref=a_special-p_c3_lProduct_1_14&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51nD1jKEQWS._SL500_.jpg,Fiction
14,The Unexpected Inheritance of Inspector Chopra,,Vaseem Khan,https://www.audible.com/pd/The-Unexpected-Inheritance-of-Inspector-Chopra-Audiobook/B0158UT41M?qid=1631133851&sr=1-15&ref=a_special-p_c3_lProduct_1_15&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/61o+EQ3HmhL._SL500_.jpg,Fiction
15,Meet Me at the Cupcake Cafe,"Cupcake Café Series, Book 1",Jenny Colgan,https://www.audible.com/pd/Meet-Me-at-the-Cupcake-Cafe-Audiobook/B00GIQUUWS?qid=1631133851&sr=1-16&ref=a_special-p_c3_lProduct_1_16&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51qsYFhymYL._SL500_.jpg,Fiction
16,The Prophets,,Robert Jones Jr.,https://www.audible.com/pd/The-Prophets-Audiobook/0593287002?qid=1631133851&sr=1-17&ref=a_special-p_c3_lProduct_1_17&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51vBsWsEv2L._SL500_.jpg,Fiction
17,Galapagos,,Kurt Vonnegut,https://www.audible.com/pd/Galapagos-Audiobook/B002V1M464?qid=1631133851&sr=1-18&ref=a_special-p_c3_lProduct_1_18&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/61s0S+kuN1L._SL500_.jpg,Fiction
18,Pride and Prejudice [Blackstone Audio],,Jane Austen,https://www.audible.com/pd/Pride-and-Prejudice-Blackstone-Audio-Audiobook/B004L72YX4?qid=1631133851&sr=1-19&ref=a_special-p_c3_lProduct_1_19&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51OWsRcy0UL._SL500_.jpg,Fiction
19,Summer Island,,Kristin Hannah,https://www.audible.com/pd/Summer-Island-Audiobook/B002V5BUD8?qid=1631133851&sr=1-20&ref=a_special-p_c3_lProduct_1_20&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51jnKKKYWmL._SL500_.jpg,Fiction
20,Robinson Crusoe,,Daniel Defoe,https://www.audible.com/pd/Robinson-Crusoe-Audiobook/B002UZLIN6?qid=1631133851&sr=1-21&ref=a_special-p_c3_lProduct_1_21&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/614sNch6h-L._SL500_.jpg,Fiction
21,Slay,,Brittney Morris,https://www.audible.com/pd/Slay-Audiobook/1508296065?qid=1631133851&sr=1-22&ref=a_special-p_c3_lProduct_1_22&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/61rrGnYC0CL._SL500_.jpg,"Fiction, Kids & Teen"
22,No One Is Talking About This,A Novel,Patricia Lockwood,https://www.audible.com/pd/No-One-Is-Talking-About-This-Audiobook/0593395247?qid=1631133851&sr=1-23&ref=a_special-p_c3_lProduct_1_23&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51Wzu0nsviL._SL500_.jpg,Fiction
23,Great Expectations,,Charles Dickens,https://www.audible.com/pd/Great-Expectations-Audiobook/B002V57X02?qid=1631133851&sr=1-24&ref=a_special-p_c3_lProduct_1_24&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51haiLlhjSL._SL500_.jpg,Fiction
24,The Best of Us,,Robyn Carr,https://www.audible.com/pd/The-Best-of-Us-Audiobook/1980031487?qid=1631133851&sr=1-25&ref=a_special-p_c3_lProduct_1_25&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51clvFEdviL._SL500_.jpg,Fiction
25,The Incredible Winston Browne,,Sean Dietrich,https://www.audible.com/pd/The-Incredible-Winston-Browne-Audiobook/0785226427?qid=1631133851&sr=1-26&ref=a_special-p_c3_lProduct_1_26&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51pfG7aF1uL._SL500_.jpg,Fiction
26,While Paris Slept,A Novel,Ruth Druart,https://www.audible.com/pd/While-Paris-Slept-Audiobook/1549129813?qid=1631133851&sr=1-27&ref=a_special-p_c3_lProduct_1_27&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51FiX+51nML._SL500_.jpg,Fiction
27,Summer by the Sea,,Susan Wiggs,https://www.audible.com/pd/Summer-by-the-Sea-Audiobook/1488210330?qid=1631133851&sr=1-28&ref=a_special-p_c3_lProduct_1_28&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51dk8t2MbBL._SL500_.jpg,Fiction
28,My Year Abroad,A Novel,Chang-rae Lee,https://www.audible.com/pd/My-Year-Abroad-Audiobook/0593395220?qid=1631133851&sr=1-29&ref=a_special-p_c3_lProduct_1_29&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/5105WPDuT3L._SL500_.jpg,Fiction
29,One Tuesday Morning,,Karen Kingsbury,https://www.audible.com/pd/One-Tuesday-Morning-Audiobook/B002V0A5HK?qid=1631133851&sr=1-30&ref=a_special-p_c3_lProduct_1_30&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51Bk30CT8IL._SL500_.jpg,Fiction
30,The Restoration of Celia Fairchild,A Novel,Marie Bostwick,https://www.audible.com/pd/The-Restoration-of-Celia-Fairchild-Audiobook/0063069326?qid=1631133851&sr=1-31&ref=a_special-p_c3_lProduct_1_31&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51HPIP4GTdL._SL500_.jpg,Fiction
31,Mind Tryst,,Robyn Carr,https://www.audible.com/pd/Mind-Tryst-Audiobook/B00GGN1RN4?qid=1631133851&sr=1-32&ref=a_special-p_c3_lProduct_1_32&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51oxiyhGCtL._SL500_.jpg,Fiction
32,The Girl in the Garden,,Kamala Nair,https://www.audible.com/pd/The-Girl-in-the-Garden-Audiobook/B0052Z9LGM?qid=1631133851&sr=1-33&ref=a_special-p_c3_lProduct_1_33&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/61hD+mbQpSL._SL500_.jpg,Fiction
33,The Picture of Dorian Gray,,Oscar Wilde,https://www.audible.com/pd/The-Picture-of-Dorian-Gray-Audiobook/B002VAEOY0?qid=1631133851&sr=1-34&ref=a_special-p_c3_lProduct_1_34&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51uRV8Pu+3L._SL500_.jpg,Fiction
34,Lunch with Buddha,,Roland Merullo,https://www.audible.com/pd/Lunch-with-Buddha-Audiobook/B00SWR3JII?qid=1631133851&sr=1-35&ref=a_special-p_c3_lProduct_1_35&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51UAiUzGtyL._SL500_.jpg,Fiction
35,Little Women,,Louisa May Alcott,https://www.audible.com/pd/Little-Women-Audiobook/B002V8NCV8?qid=1631133851&sr=1-36&ref=a_special-p_c3_lProduct_1_36&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/513KBHYdruL._SL500_.jpg,"Fiction, Kids & Teen"
36,The Mistress,,Danielle Steel,https://www.audible.com/pd/The-Mistress-Audiobook/B01MRT1IOO?qid=1631133851&sr=1-37&ref=a_special-p_c3_lProduct_1_37&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51xun1lhh6L._SL500_.jpg,Fiction
37,Utopia Avenue,A Novel,David Mitchell,https://www.audible.com/pd/Utopia-Avenue-Audiobook/1101923210?qid=1631133851&sr=1-38&ref=a_special-p_c3_lProduct_1_38&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51UHUMbecwL._SL500_.jpg,Fiction
38,The Idiot [Blackstone],,Fyodor Dostoevsky,https://www.audible.com/pd/The-Idiot-Blackstone-Audiobook/B002V8MDH2?qid=1631133851&sr=1-39&ref=a_special-p_c3_lProduct_1_39&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/41XO98tJ7HL._SL500_.jpg,Fiction
39,"God, No!",Signs You May Already Be an Atheist and Other Magical Tales,Penn Jillette,https://www.audible.com/pd/God-No-Audiobook/B005GGGUG6?qid=1631133851&sr=1-40&ref=a_special-p_c3_lProduct_1_40&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/61MjWan6-LL._SL500_.jpg,Fiction
40,Say Goodbye for Now,,Catherine Ryan Hyde,https://www.audible.com/pd/Say-Goodbye-for-Now-Audiobook/B01KBMK3K8?qid=1631133851&sr=1-41&ref=a_special-p_c3_lProduct_1_41&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51Ov-tkZdkL._SL500_.jpg,Fiction
41,Plainsong,,Kent Haruf,https://www.audible.com/pd/Plainsong-Audiobook/B006QXAEP6?qid=1631133851&sr=1-42&ref=a_special-p_c3_lProduct_1_42&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51jpIv5OiGL._SL500_.jpg,Fiction
42,The Prisoner's Wife,,Maggie Brookes,https://www.audible.com/pd/The-Prisoners-Wife-Audiobook/0593215125?qid=1631133851&sr=1-43&ref=a_special-p_c3_lProduct_1_43&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51ug65OUeHL._SL500_.jpg,Fiction
43,The Bitter and Sweet of Cherry Season,,Molly Fader,https://www.audible.com/pd/The-Bitter-and-Sweet-of-Cherry-Season-Audiobook/1488208395?qid=1631133851&sr=1-44&ref=a_special-p_c3_lProduct_1_44&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51PYPdad1EL._SL500_.jpg,Fiction
44,Sunrise by the Sea,A Little Beach Bakery Novel,Jenny Colgan,https://www.audible.com/pd/Sunrise-by-the-Sea-Audiobook/0062911341?qid=1631133851&sr=1-45&ref=a_special-p_c3_lProduct_1_45&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/61-gpqoitES._SL500_.jpg,Fiction
45,On the Beach,,Nevil Shute,https://www.audible.com/pd/On-the-Beach-Audiobook/B005WXO484?qid=1631133851&sr=1-46&ref=a_special-p_c3_lProduct_1_46&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51L99c11KDL._SL500_.jpg,Fiction
46,We Run the Tides,A Novel,Vendela Vida,https://www.audible.com/pd/We-Run-the-Tides-Audiobook/006306796X?qid=1631133851&sr=1-48&ref=a_special-p_c3_lProduct_1_48&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51KtNG73IZL._SL500_.jpg,Fiction
47,The Protector's War,A Novel of the Change,S. M. Stirling,https://www.audible.com/pd/The-Protectors-War-Audiobook/B002UZKVAW?qid=1631133851&sr=1-49&ref=a_special-p_c3_lProduct_1_49&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/515SAHbF6fL._SL500_.jpg,Fiction
48,Dancing at the Rascal Fair,,Ivan Doig,https://www.audible.com/pd/Dancing-at-the-Rascal-Fair-Audiobook/B003EN4YPM?qid=1631133851&sr=1-50&ref=a_special-p_c3_lProduct_1_50&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51HGBtZ5diL._SL500_.jpg,Fiction
49,A Dog's Way Home,,W. Bruce Cameron,https://www.audible.com/pd/A-Dogs-Way-Home-Audiobook/B071W33VX3?qid=1631133863&sr=1-51&ref=a_special-p_c3_lProduct_2_1&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/61C6u1X52TL._SL500_.jpg,Fiction
50,Killing Rommel,,Steven Pressfield,https://www.audible.com/pd/Killing-Rommel-Audiobook/B002V5IRHU?qid=1631133863&sr=1-52&ref=a_special-p_c3_lProduct_2_2&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51xOLuBeX1L._SL500_.jpg,Fiction
51,Nocturnes,Five Stories of Music and Nightfall,Kazuo Ishiguro,https://www.audible.com/pd/Nocturnes-Audiobook/B002V19UPC?qid=1631133863&sr=1-53&ref=a_special-p_c3_lProduct_2_3&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51qJ2ombGTL._SL500_.jpg,Fiction
52,The Railway Children,,E. Nesbit,https://www.audible.com/pd/The-Railway-Children-Audiobook/B00BCNK2K2?qid=1631133863&sr=1-54&ref=a_special-p_c3_lProduct_2_4&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51KJnIKdt+L._SL500_.jpg,"Fiction, Kids & Teen"
53,Falling Home,A Falling Home Novel,Karen White,https://www.audible.com/pd/Falling-Home-Audiobook/0593453980?qid=1631133863&sr=1-55&ref=a_special-p_c3_lProduct_2_5&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51wFKPncCQL._SL500_.jpg,Fiction
54,Musical Chairs,A Novel,Amy Poeppel,https://www.audible.com/pd/Musical-Chairs-Audiobook/1508280096?qid=1631133863&sr=1-56&ref=a_special-p_c3_lProduct_2_6&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51HgeXb6vRL._SL500_.jpg,Fiction
55,And They Called It Camelot,A Novel of Jacqueline Bouvier Kennedy Onassis,Stephanie Marie Thornton,https://www.audible.com/pd/And-They-Called-It-Camelot-Audiobook/0593165845?qid=1631133863&sr=1-57&ref=a_special-p_c3_lProduct_2_7&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51mk0od8dVL._SL500_.jpg,Fiction
56,The Memory Collectors,,Kim Neville,https://www.audible.com/pd/The-Memory-Collectors-Audiobook/1797117572?qid=1631133863&sr=1-58&ref=a_special-p_c3_lProduct_2_8&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51LdmUgQuIL._SL500_.jpg,Fiction
57,The Removed,A Novel,Brandon Hobson,https://www.audible.com/pd/The-Removed-Audiobook/0062997572?qid=1631133863&sr=1-59&ref=a_special-p_c3_lProduct_2_9&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/61HlkloDOXL._SL500_.jpg,Fiction
58,Silent Night,,Danielle Steel,https://www.audible.com/pd/Silent-Night-Audiobook/1980027684?qid=1631133863&sr=1-60&ref=a_special-p_c3_lProduct_2_10&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51hxecKgjDL._SL500_.jpg,Fiction
59,True Devotion,"Uncommon Heroes, Book 1",Dee Henderson,https://www.audible.com/pd/True-Devotion-Audiobook/B002V1LQMW?qid=1631133863&sr=1-61&ref=a_special-p_c3_lProduct_2_11&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51gHrK5duWL._SL500_.jpg,Fiction
60,Maggie,The Sequel to The Dead Don't Dance,Charles Martin,https://www.audible.com/pd/Maggie-Audiobook/B06ZY5VFJS?qid=1631133863&sr=1-62&ref=a_special-p_c3_lProduct_2_12&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51ln8Rca7yL._SL500_.jpg,Fiction
61,Mutant Message Down Under,,Marlo Morgan,https://www.audible.com/pd/Mutant-Message-Down-Under-Audiobook/0062955381?qid=1631133863&sr=1-63&ref=a_special-p_c3_lProduct_2_13&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/516-LEUmLKL._SL500_.jpg,Fiction
62,Meg and Jo,,Virginia Kantra,https://www.audible.com/pd/Meg-and-Jo-Audiobook/0593167333?qid=1631133863&sr=1-64&ref=a_special-p_c3_lProduct_2_14&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/41QY-DjY6lL._SL500_.jpg,Fiction
63,"Dear Haiti, Love Alaine",,"Maika Moulite, Maritza Moulite",https://www.audible.com/pd/Dear-Haiti-Love-Alaine-Audiobook/1488207194?qid=1631133863&sr=1-65&ref=a_special-p_c3_lProduct_2_15&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51MBlhXINNL._SL500_.jpg,"Fiction, Kids & Teen"
64,Saving Ruby King,A Novel,Catherine Adel West,https://www.audible.com/pd/Saving-Ruby-King-Audiobook/1488208751?qid=1631133863&sr=1-66&ref=a_special-p_c3_lProduct_2_16&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51QWaK1kyyL._SL500_.jpg,Fiction
65,The Secrets of Love Story Bridge,,Phaedra Patrick,https://www.audible.com/pd/The-Secrets-of-Love-Story-Bridge-Audiobook/1488208182?qid=1631133863&sr=1-67&ref=a_special-p_c3_lProduct_2_17&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51LGnJyHFUL._SL500_.jpg,Fiction
66,The Other Windsor Girl,"A Novel of Princess Margaret, Royal Rebel",Georgie Blalock,https://www.audible.com/pd/The-Other-Windsor-Girl-Audiobook/0062960849?qid=1631133863&sr=1-68&ref=a_special-p_c3_lProduct_2_18&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/41wIBb9OUeL._SL500_.jpg,Fiction
67,Ellie and the Harpmaker,,Hazel Prior,https://www.audible.com/pd/Ellie-and-the-Harpmaker-Audiobook/1984890549?qid=1631133863&sr=1-69&ref=a_special-p_c3_lProduct_2_19&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/41AUAPCJbDL._SL500_.jpg,Fiction
68,Dark Horses,A Novel,Susan Mihalic,https://www.audible.com/pd/Dark-Horses-Audiobook/1797112708?qid=1631133863&sr=1-70&ref=a_special-p_c3_lProduct_2_20&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XQ43CVE54Z2TW96N9DZE,https://m.media-amazon.com/images/I/51hgvIZYGCL._SL500_.jpg,Fiction
